#,question,answer,sources,confidence,from_cache,language,elapsed_seconds,status
31,AMLA cross-border FIU cooperation,"AMLA is strengthening cross-border cooperation between EU Financial Intelligence Units (FIUs) by establishing a recurring cycle of joint analyses covering cross-border typologies and emerging risks, including crypto-assets and novel payment channels. Priority cases are intended to be selected transparently and consistently, with analytical outputs routed in a structured way to national authorities and, where relevant, the EPPO, OLAF, Europol and Eurojust. In 2026, AMLA’s team of 27 FIU delegates is expected to be complete, supporting enhanced coordination, information exchange and analytical cooperation. (AMLA SPD 2026-2028.pdf, pp. 23–24)

AMLA is also developing harmonised standards for FIU cooperation, including the standard format for FIU-to-FIU exchanges and regulatory technical standards setting criteria for the cross-border relevance of suspicious transaction reports (STRs). Its consultation proposes objective, structured criteria that can be applied automatically through FIU.net to distinguish between a full cross-border report and a focused “cross-border dissemination,” aiming to make exchanges faster and more consistent while reducing over- and under-sharing. (AMLA SPD 2026-2028.pdf, pp. 23–24; Press Release - AMLA consults on clear rules for cross-border FIU information exchanges.pdf, p. 1)

AMLA will host, maintain and further develop FIU.net, pursue interoperability with national systems, and establish support mechanisms including a helpdesk, training, knowledge-sharing, peer reviews and mediation procedures. Formal working arrangements with Europol, Eurojust, OLAF and the EPPO are also planned. (AMLA SPD 2026-2028.pdf, p. 24)",AMLA SPD 2026-2028.pdf; Press Release - AMLA consults on clear rules for cross-border FIU information exchanges.pdf; AMLA SPD 2026-2028.pdf,10.45943546295166,False,en,9.7,ok
32,"Do we have an example of a Compliance Monitoring Plan, including the associated risk assessment, for a crypto-asset service provider (CASP) in Luxembourg?","No. The excerpts do not provide an example or template of a Compliance Monitoring Plan for a Luxembourg crypto-asset service provider, nor do they include an associated enterprise-wide or compliance risk assessment. They also contain no Luxembourg-specific requirements or document.

They do, however, identify matters that could be included in such a plan, including:

- Regular monitoring of suitability assessments and whether staff consider all relevant suitability requirements. (ESMA35-24871704-2922 Guidelines for the criteria on the assessment of knowledge and competence under the Markets in Crypto Assets Regulation, p.17–18)
- Monitoring whether staff can properly assess clients’ objectives, financial situation, knowledge and experience, and explain the risks and rewards of crypto-assets or strategies. (ESMA35-24871704-2922 Guidelines for the criteria on the assessment of knowledge and competence under the Markets in Crypto Assets Regulation, p.17–18)
- Training and monitoring concerning conflicts of interest and inducements. (ESMA35-24871704-2922 Guidelines for the criteria on the assessment of knowledge and competence under the Markets in Crypto Assets Regulation, p.17–18)
- Controls over suitability questionnaires and risk-profiling tools, including coherence checks and mitigation of risks arising from their use. (ESMA35-1872330276-2031_Guidelines_on_suitability_and_periodic_statement_MiCA.pdf, p.20)

Thus, the excerpts can support the content of a Compliance Monitoring Plan, but they do not contain the requested completed example or risk assessment.",ESMA35-24871704-2922 Guidelines for the criteria on the assessment of knowledge and competence under the Markets in Crypto Assets Regulation (MiCA).pdf; ESMA35-1872330276-2031_Guidelines_on_suitability_and_periodic_statement_MiCA.pdf; ESMA35-1872330276-2031_Guidelines_on_suitability_and_periodic_statement_MiCA.pdf,3.620208501815796,False,en,8.6,ok
33,"In the context of a Long Form Report (external audit) of a payment institution, do we have a model approach for the review of the AML/CFT framework?","No specific Long Form Report (external audit) template or detailed AML/CFT audit programme is provided in the excerpts. They do, however, support a **risk-based review approach**, rather than a purely checklist-based review. The review should consider the payment institution’s inherent financial-crime risks, whether its controls effectively mitigate those risks, and whether the supervisory or audit effort is proportionate to its ML/TF risk profile. Particular attention should be given to cross-border activities, agent networks and the use of agents, and products, delivery channels or technologies whose financial-crime risks may not have been adequately identified at design or implementation stage (Recommendations for Regulating and Supervising Bank and Non-bank Payment Service Providers Offering Cross-border Payment Services_ Final report.pdf, pp.23–24).

A practical review structure can also document: (i) the reasons for any non-compliance; (ii) whether the issue is confirmed and constitutes a regulatory breach; (iii) any mitigating factors; and (iv) the appropriate response or remediation. The framework should further be assessed through governance, risk management and operational-risk considerations, with controls rated, for example, as strong or adequate based on the quality of management, organisation and controls and their compatibility with the institution’s nature and complexity (Supervisory methodology 2025.pdf, pp.11–12). Accordingly, the excerpts provide principles for developing a Long Form Report methodology, but not a prescribed model report or specific legal basis.",Recommendations for Regulating and Supervising Bank and Non-bank Payment Service Providers Offering Cross-border Payment Services_ Final report.pdf; Press Release - Draft RTS on Home-Host Supervisory Cooperation.pdf; Supervisory methodology 2025.pdf,1.938610315322876,False,en,9.8,ok
34,Do we have examples of valuation policy and risk management policy for an ISA with infrastructure funds?,"Yes. The excerpts provide useful examples, although they do not contain a complete, ISA-specific policy template for infrastructure funds.

For **valuation policy**, the scope can cover infrastructure-related immovable assets and project finance, including onshore and offshore solar or wind projects, hydropower facilities, toll roads, railways and similar infrastructure. Good practice is to document the assets and sub-types covered across entities, business lines and portfolios; specify the valuation methods used; and incorporate relevant climate and nature risk drivers, including the effect of insurance. (Good practices for climate and nature risk management.pdf, pp.121–122) Valuation governance can also include controls over the accuracy of investment information, the proportion of assets valued using alternative methods, and back-testing or analysis of valuation changes. (d1ef2dd1-043d-4c0c-8e49-498cbcf8973c_en.pdf, p.28)

For **risk management policy**, the excerpts identify policies and procedures covering credit assessment, pricing and granting, credit monitoring, renewal and refinancing, collateral management, concentration risk, operational risk, borrower assessment and scoring, valuation and impairment, problem debt and staff expertise. They also mention leverage and diversification limits and restrictions on certain activities, such as non-hedging derivatives, short selling and securities lending. (EUR-Lex - 52021SC0340 - EN - EUR-Lex.pdf, pp.100–101) For infrastructure exposures, the policy should additionally address risk-transfer and hedging arrangements, including governance, effectiveness, basis risk, complexity, stress-test results, asset-liability management, counterparty or reinsurer credit risk and climate-related catastrophe risks. (d1ef2dd1-043d-4c0c-8e49-498cbcf8973c_en.pdf, p.28)

The excerpts do not name a specific legal basis or provide a complete policy expressly labelled for an “ISA with infrastructure funds.”",Good practices for climate and nature risk management.pdf; EUR-Lex - 52021SC0340 - EN - EUR-Lex.pdf; d1ef2dd1-043d-4c0c-8e49-498cbcf8973c_en.pdf,1.5827652215957642,False,en,109.6,ok
35,Do we have a due diligence questionnaire to send to UCITS fund distributors?,"Yes. The excerpts indicate that a **distribution due diligence questionnaire** is used for distributor oversight. It is generally a process of asking questions, receiving and assessing the distributor’s answers, to verify compliance with applicable marketing laws and regulations, contractual requirements, and AML/CTF obligations. The objective is to ensure that the distributor complies with marketing and governance rules and AML/CTF requirements when marketing the fund. (Delegate Due Diligence.pdf, p.5–6)

The excerpts do not provide the questionnaire itself or a specific list of questions. They also distinguish distributor due diligence from AML/KYD or AML/KYC due diligence. (Delegate Due Diligence.pdf, p.5–6)",esma34-45-688_final_report_on_integrating_sustainability_risks_and_factors_in_the_ucits_directive_and_the_aifmd.pdf; cssf21_790_eng.pdf; Delegate Due Diligence.pdf,2.3621132373809814,False,en,7.2,ok
36,"What are the regulatory obligations of an MFI for FATCA/CRS reporting, and do we have an example of an internal FATCA/CRS policy?","An MFI acting as a reporting Financial Institution must comply with both FATCA and CRS reporting obligations to the Luxembourg tax authorities. For fiscal year 2025, reporting is due by **30 June 2026**; where applicable, it may submit a “zero” or “nil” report if it has no reportable accounts. For FATCA, a Foreign Financial Institution should generally register and obtain a **Global Intermediary Identification Number (GIIN)**, whereas no CRS registration is required. FATCA exemptions may apply to certain entities or accounts, while CRS exemptions are more limited. (FATCA & CRS _ Obligations for Reporting Financial Institutions for year 2025, pp. 1–2)

The MFI must establish and evidence appropriate due-diligence and compliance processes, monitor any third-party service providers, retain evidence of their work and of the controls performed, and keep copies of all reports—including initial filings, additions, cancellations and corrections—together with Luxembourg tax administration validation feedback. Under Article 2(1) of the Luxembourg CRS Law, relevant documentation must be retained for **10 years**, including client files, financial-position valuations, the Register of Actions, written procedures and policies, submitted reports, validation feedback and other evidence of compliance; records must be readily available for audit. (Updated Luxembourg CRS FAQ reinforce importance of compliance records, pp. 3–4) Non-compliance may result in a EUR 10,000 penalty for no reporting, up to EUR 250,000 for breaches such as failures in due diligence or compliance setup, and the main penalty plus 0.5% of amounts that should have been reported for incomplete, late or inaccurate reporting. (FATCA & CRS _ Obligations for Reporting Financial Institutions for year 2025, p. 1)

The excerpts confirm that the MFI should maintain written FATCA/CRS procedures and policies, but **they do not provide an example of an internal FATCA/CRS policy**. (Updated Luxembourg CRS FAQ reinforce importance of compliance records, p. 3)","Updated Luxembourg CRS FAQ reinforce importance of compliance records.pdf; FATCA & CRS _ Obligations for Reporting Financial Institutions for year 2025.pdf; FR_09_2024 Evolution in the Operation, Governance and Business Models of Exchanges_ Regulatory Implications and Good Practices.pdf",2.2453949451446533,False,en,11.0,ok
37,What are the supervisory obligations of an MFI when functions are delegated directly by the fund's general partner rather than by the MFI itself?,"The excerpts do not expressly address a situation in which the fund’s general partner delegates functions directly, rather than the MFI/AIFM delegating them. However, they establish that the AIFM remains fully responsible and liable to investors for the provision of the fund-management functions. Delegation therefore does not remove the AIFM’s supervisory responsibility or liability merely because the delegation is arranged through another party. (EUR-Lex - 52021SC0340 - EN - EUR-Lex.pdf, p.150–151)

Accordingly, the AIFM should maintain effective oversight and information flows with any third party involved, ensure adequate internal controls, and ensure that its governing body and senior management remain responsible for compliance with the AIFM’s obligations. Where the arrangement is treated as delegation of core functions, the delegate must meet the stated authorisation, competence, resources and reputation requirements; the AIFM must supervise the delegate, be able to withdraw the delegation immediately, and ensure that the competent authorities are notified before the arrangement becomes effective. (esma34-45-688_final_report_on_integrating_sustainability_risks_and_factors_in_the_ucits_directive_and_the_aifmd.pdf, p.15–16; EUR-Lex - 52021SC0340 - EN - EUR-Lex.pdf, p.150–151)",esma34-45-688_final_report_on_integrating_sustainability_risks_and_factors_in_the_ucits_directive_and_the_aifmd.pdf; EUR-Lex - 52021SC0340 - EN - EUR-Lex.pdf; esma34-45-688_final_report_on_integrating_sustainability_risks_and_factors_in_the_ucits_directive_and_the_aifmd.pdf,0.890374481678009,False,en,11.2,ok
38,"Investor blocked account monitoring system (the function of transfer agent/TA is outsourced). Apart from sending reminders to the TA to obtain the missing documentation to complete/finalize the KYC, what more can IFM do? Make a declaration of suspicion, escalate the subject to the Board?","Beyond reminders, the IFM should treat the matter as a documented AML/KYC case rather than merely an administrative follow-up. It should review the investor’s KYC information, transaction history and risk profile; determine whether a temporary investigative restriction or manual-review status is appropriate; and ensure that the account-level restriction, its date, rationale, supporting evidence and follow-up actions are recorded. The investor may be informed, within legal limits, of the restriction and of the documentation or explanations required. (What Is a Blocked Account in Anti‑Money Laundering_.pdf, p.4; What Is a Blocked Account in Anti‑Money Laundering_.pdf, p.6-7)

Because the TA is outsourced, the IFM should use its outsourcing-governance framework: perform risk-based due diligence, obtain periodic certifications or assessments where appropriate, address findings through the relevant oversight team, and monitor the TA through periodic service reviews. For critical providers such as TAs, the excerpt indicates that annual onsite due diligence is expected. (Delegate Due Diligence.pdf, p.6)

A declaration of suspicion should be considered where the review identifies suspected money laundering or terrorist financing; the excerpt describes filing a SAR or equivalent report with the FIU as part of the workflow. A sanctions-related match requires the applicable blocking action and notification to the competent authority. Mere failure to provide documents, without indicators of ML/TF or sanctions exposure, is not identified in the excerpts as sufficient by itself to justify a suspicion report. (What Is a Blocked Account in Anti‑Money Laundering_.pdf, p.4) Escalation to the IFM’s internal oversight function is appropriate, particularly for material or unresolved TA deficiencies; escalation specifically to the Board is not addressed in the excerpts and should therefore depend on the IFM’s internal governance and escalation thresholds. (Delegate Due Diligence.pdf, p.6)",What Is a Blocked Account in Anti‑Money Laundering_.pdf; What Is a Blocked Account in Anti‑Money Laundering_.pdf; Delegate Due Diligence.pdf,1.539218783378601,False,en,11.9,ok
39,What obligations are imposed on an AIFM investing in illiquid securities under the Market Abuse Regulation (MAD 2)?,"The excerpts do **not identify any specific obligation imposed by MAD 2** on an AIFM investing in illiquid securities. They refer instead to AIFMD/AIFM-related supervisory and liquidity obligations.

Relevant obligations described are:

- The AIFM must report information to its national competent authority, including the main instruments traded by the AIFs it manages, principal exposures and significant investment concentrations. A full-scope AIFM must also report investment strategies, principal markets, investor concentration, risk profiles—including liquidity risk—and stress-test results. The home-state authority must make the information available to other relevant authorities, ESMA and the ESRB. (52021SC0340, pp.144–145)
- The AIFM must implement liquidity-risk limits that take account of each AIF’s investment strategy and assets and are consistent with the risk profile disclosed to investors. The investment strategy, liquidity profile and redemption policy must allow redemptions consistently with the fair treatment of all investors and the AIF’s redemption obligations. (FR13_22 Thematic Review on Liquidity Risk Management Recommendations, p.18)
- Where anti-dilution levies are used, they should reflect the estimated explicit and implicit portfolio-transaction costs caused by subscriptions or redemptions, including significant market impact from buying or selling assets to meet those transactions. (ESMA34-1985693317-1259_Final_Report_on_the_Draft_Regulatory_Technical_Standards_on_Liquidity_Management_Tools_under_the_AIFMD_and_UCITS_Directive, p.47)

Thus, based on these excerpts, no MAD 2-specific illiquid-securities requirement can be stated; the documented requirements concern supervisory reporting, liquidity-risk limits and fair handling of investor subscriptions and redemptions.",EUR-Lex - 52021SC0340 - EN - EUR-Lex.pdf; FR13_22 Thematic Review on Liquidity Risk Management Recommendations.pdf; ESMA34-1985693317-1259_Final_Report_on_the_Draft_Regulatory_Technical_Standards_on_Liquidity_Management_Tools_under_the_AIFMD_and_UCITS_Directive.pdf,3.614978075027466,False,en,10.7,ok
40,Do we have performance assessment frameworks that incorporate sustainability objectives (ESG) for a credit institution?,"Yes. The excerpts support an ESG-integrated performance and risk-assessment framework for a credit institution. Institutions are expected to identify and measure ESG risks using multiple methodologies, integrate them into the regular risk-management framework, risk appetite, internal controls and ICAAP, and monitor them through internal reporting, including backward- and forward-looking ESG risk metrics and indicators. (Final Guidelines on the management of ESG risks.pdf, p.3; Circular 26_905.pdf, p.6)

The framework also incorporates forward-looking sustainability objectives through strategies, policies and transition planning over short-, medium- and long-term horizons, including at least 10 years. Institutions should promote awareness of their ESG strategic objectives and commitments, and the first line of defence should assess ESG risks during client onboarding, credit applications, credit reviews and ongoing monitoring. (Circular 26_905.pdf, pp.6, 33) The excerpts do not, however, specify a standalone ESG employee-performance appraisal or remuneration framework; they describe an ESG-integrated risk, strategy, monitoring and credit-assessment framework.",Final Guidelines on the management of ESG risks.pdf; Circular 26_905.pdf; Circular 26_905.pdf,4.635162830352783,False,en,8.9,ok
41,Quelles sont les travaux que le réviseur d'entreprises doit effectuer dans le cas d'une erreur de calcul de NAV selon la circulaire CSSF 24/856 (par type d'erreur) ?,"Selon la circulaire CSSF 24/856, les travaux du réviseur d’entreprises (REA) diffèrent selon la nature de l’erreur :

- **Non-respect actif des règles d’investissement de l’OPC** : le réviseur doit calculer les gains ou pertes subis par l’OPC du fait de la correction, déterminer les montants à verser à titre d’indemnisation, vérifier que la méthode de calcul de l’impact est cohérente avec la circulaire et les procédures internes applicables, vérifier le paiement effectif de l’indemnisation à l’OPC et déterminer si le non-respect a entraîné une erreur significative de calcul de la VNI. Il doit également effectuer, par sondage, des contrôles sur la classification correcte des cas de non-respect « passif ». (CSSF24_856eng.pdf, p.40-41)

- **Toute autre erreur, notamment une erreur de calcul de la VNI** : le réviseur doit, sur la base des impacts identifiés, déterminer les montants à indemniser à l’OPC et/ou aux investisseurs, vérifier que la méthode de calcul des gains et/ou pertes est appropriée au type d’erreur, puis vérifier le paiement effectif de l’indemnisation conformément à la section 7.2. (CSSF24_856eng.pdf, p.40-41)

Pour une **erreur significative de calcul de la VNI**, les VNI erronées doivent être corrigées sans délai et le préjudice doit être chiffré sur la base des VNI corrigées. L’impact doit notamment distinguer les investisseurs ayant été remboursés pendant la période d’erreur et ceux ayant souscrit pendant cette période sur la base d’une VNI erronée. (cssf24_856.pdf, p.20-21)",CSSF24_856eng.pdf; Circular CSSF 24_856.pdf; cssf24_856.pdf,6.442131519317627,False,fr,12.1,ok
42,Quelles sont les travaux que le réviseur d'entreprises doit effectuer dans le cas d'une fusion / transformation / apport en nature selon la norme XXXX (j'ai plus en tête toutes le normes) ?,Je n'ai pas trouvé cette information dans les documents fournis.,,-1.2415001392364502,False,fr,4.0,ok
43,Quels sont les changements de principes comptables dans les états financiers en cas de liquidation ?,"Dans le projet de révision de l’OIC 5, la disparition de la présomption de continuité d’exploitation modifie la logique d’évaluation : les actifs et passifs ne sont plus appréciés selon leur contribution à la génération de produits, mais selon leur réalisation ou leur extinction dans le cadre de la liquidation. Pour les sociétés sans poursuite d’activité, les actifs corporels et incorporels, les participations et les titres de créance sont évalués au plus bas entre leur valeur comptable au début de la liquidation et leur valeur de réalisation présumée déduite des tendances du marché. Les actifs corporels et incorporels ne sont plus amortis, et les titres de créance ne sont plus évalués au coût amorti. Les créances sont comptabilisées à leur valeur présumée de réalisation et les passifs à leur valeur présumée d’extinction ; le coût amorti et l’actualisation ne s’appliquent pas, sauf éléments certains affectant la valeur d’extinction, tels que pénalités ou escomptes. (OIC 5_ key operational changes - LEXIA.pdf, p.1)

Les charges de liquidation font également l’objet d’une approche plus prudente : des provisions ne sont constituées que pour les charges correspondant à une obligation inévitable de la société et qui ne sont pas nécessaires à l’achèvement de la liquidation. Les prévisions relatives à l’issue de la procédure ne sont plus intégrées dans une estimation prospective globale, mais présentées dans l’annexe, avec l’évolution attendue des encaissements et des paiements et l’appréciation de leur suffisance pour régler intégralement les obligations de la liquidation. (2024-04-09-Bozza-per-consultazione-Principio-contabile-OIC-5-Bilanci-di-Liquidazione-1.pdf, p.38-39)

Enfin, la distinction entre actif circulant et actif immobilisé perd sa pertinence en liquidation. Lorsqu’aucune poursuite d’activité, même provisoire ou limitée à certaines branches, n’est prévue, le projet impose des modèles spécifiques de bilan et de compte de résultat ainsi qu’un tableau des flux de trésorerie dédié. (2024-04-09-Bozza-per-consultazione-Principio-contabile-OIC-5-Bilanci-di-Liquidazione-1.pdf, p.38-39 ; OIC 5_ key operational changes - LEXIA.pdf, p.1)",2024-04-09-Bozza-per-consultazione-Principio-contabile-OIC-5-Bilanci-di-Liquidazione-1.pdf; OIC 5_ key operational changes - LEXIA.pdf; General framework and purpose of the OIC 5 draft - LEXIA.pdf,4.32791805267334,False,fr,11.9,ok
44,Quels sont les impacts de la nouvelle norme IFRS 18 ?,"La norme IFRS 18 modifie principalement la **présentation et les informations à fournir**, sans être censée modifier la manière dont les entreprises mesurent leur performance financière. Elle introduit cinq catégories de classement des produits et charges — **exploitation, investissement, financement, impôts sur le résultat et activités abandonnées** — ainsi que deux sous-totaux obligatoires : le **résultat opérationnel** et le **résultat avant financement et impôts sur le résultat**. Elle renforce également les règles d’agrégation, de désagrégation et de libellé des postes, afin d’améliorer la lisibilité et la comparabilité des états financiers. ( *IFRS 18_ what the new standard means for your financial reporting*, p. 2-3 ; *IFRS 18_ Introduction for Insurers*, p. 4-5)

Les entreprises devront aussi fournir des informations auditées sur les **mesures de performance définies par la direction** (« Management-Defined Performance Measures », MPM). La transition aura des conséquences pratiques importantes pour les équipes financières : analyse des impacts et des reclassements, correspondance entre les plans comptables et les nouvelles catégories IFRS 18, adaptation des ERP et des structures de gestion de la performance, renforcement des contrôles et évolution des communications internes et externes. Les principaux ratios financiers peuvent également être affectés, car leur calcul peut varier selon la présentation retenue sous IFRS 18 ; l’effet dépendra notamment du ratio et du profil de l’utilisateur des états financiers. ( *IFRS 18_ what the new standard means for your financial reporting*, p. 2-3 ; *IFRS 18 Presentation and Disclosure in Financial Statements - CBS Research Portal*, p. 1-2 ; *IFRS 18_ Introduction for Insurers*, p. 4-5)",IFRS 18_ what the new standard means for your financial reporting _ Wolters Kluwer.pdf; IFRS 18_ Introduction for Insurers.pdf; IFRS 18 Presentation and Disclosure in Financial Statements - CBS Research Portal.pdf,9.617030143737793,False,fr,8.9,ok
45,What are the ICT governance requirements for Luxembourg-supervised entities?,"Luxembourg-supervised financial entities within the scope of DORA must implement governance arrangements for ICT third-party services. DORA has applied to CSSF-supervised financial entities in scope since 17 January 2025. Circular CSSF 25/882 provides practical instructions for submitting information and reporting on ICT third-party providers, and recalls general requirements for the use of third-party ICT services, taking account of Luxembourg national financial-services laws. (cssf25_882eng.pdf, pp. 1–2)

ICT governance must be designed in the context of the entity’s business model as a whole, with due regard to activities regulated under the LFS, the LPS, or other national laws granting supervisory competence to the CSSF. This applies in particular when entities perform ICT outsourcing, and the circular also covers specified Luxembourg entities such as Article 125-1 UCITS management companies and Luxembourg branches of certain third-country institutions. (Circular CSSF 22_806.pdf, p. 10) Governance arrangements must be proportionate to factors including the volume and complexity of operations, the entity’s size, staffing, group structure, outsourcing and ICT concentration risks, and the architecture and continuity of IT systems. The proportionality assessment must be documented in writing and approved by the supervisory body at least annually. (cssf26_906eng.pdf, pp. 6–7) For institutions covered by the relevant requirements, arrangements must also support full compliance with the applicable governance and risk-management provisions, and central administration—including the decision-making and administrative centres—must be located in Luxembourg, rather than having only a Luxembourg registered office. (cssf26_906eng.pdf, p. 7)",cssf25_882eng.pdf; Circular CSSF 22_806.pdf; cssf26_906eng.pdf,5.322879314422607,False,en,11.6,ok
46,What are the draft RTS on Customer Due Diligence?,"The draft RTS on Customer Due Diligence (CDD) are intended to specify:

- the CDD requirements and information to be collected for **simplified, standard and enhanced due diligence**;
- the types of simplified due diligence measures that may be applied;
- the risk factors associated with features of electronic money;
- reliable and independent sources for verifying identification data; and
- the attributes that electronic identification methods and qualified trust services must have to meet identification and verification requirements.  
(“AMLA Public Hearing - Draft RTS under Article 28(1) AMLR.pdf,” pp. 9–11)

The draft was initially developed by the EBA and subsequently reviewed by AMLA, including in light of input concerning the non-financial sector. AMLA’s stated principles are a high level of harmonisation, preservation and promotion of a risk-based approach, and proportionality. (“AMLA Public Hearing - Draft RTS under Article 28(1) AMLR.pdf,” pp. 9–10) Compared with the earlier EBA draft, the revised CDD RTS notably address the **power of representation**: recital 12 refers to provisions requiring obliged entities to collect information to verify the existence and scope of a person’s authority to act for the customer. Article 16 concerns identification and verification of that person, while Article 22 AMLR concerns the identity of customers and beneficial owners. (“2026 AML_CFT Consultations - Unpacking AMLA's New Draft RTS_ Key Takeaways for the Financial and Non‑Financial Sectors_br__ _ Herbert Smith Freehills Kramer _ Global law firm.pdf,” pp. 1–2, 4)",2026 AML_CFT Consultations - Unpacking AMLA's New Draft RTS_ Key Takeaways for the Financial and Non‑Financial Sectors_br__ _ Herbert Smith Freehills Kramer _ Global law firm.pdf; 2026 AML_CFT Consultations - Unpacking AMLA's New Draft RTS_ Key Takeaways for the Financial and Non‑Financial Sectors_br__ _ Herbert Smith Freehills Kramer _ Global law firm.pdf; AMLA Public Hearing - Draft RTS under Article 28(1) AMLR.pdf,10.136493682861328,False,en,9.5,ok
47,What are the ECB's supervisory priorities?,"The ECB’s supervisory priorities for 2026–2028 are to:

- **Strengthen banks’ resilience to geopolitical risks and macro-financial uncertainties**, including geopolitical tensions, trade fragmentation, climate- and nature-related risks, demographic change and rapid technological transformation. (Supervisory Priorities for 2026 - 2028 _ Management Solutions.pdf, p.1)
- **Strengthen operational resilience and ICT capabilities**, including the management of operational, IT-outsourcing and cybersecurity risks. (Supervisory Priorities for 2026 - 2028 _ Management Solutions.pdf, p.1; ECB Banking Supervision_ SSM supervisory priorities for 2024-2026.pdf, p.3)
- **Advance digital transformation**, with robust digital and particularly AI-related strategies supported by appropriate governance and risk-management frameworks. (Supervisory Priorities 2026-28.pdf, pp.2–3)

The ECB will address these priorities through targeted supervisory work programmes, while continuing regular supervision, follow-up work on past priorities and proportionate application of the priorities to less significant institutions. (Supervisory Priorities 2026-28.pdf, pp.2–3)",Supervisory Priorities for 2026 - 2028 _ Management Solutions.pdf; Supervisory priorities 2026-28.pdf; ECB Banking Supervision_ SSM supervisory priorities for 2024-2026.pdf,10.686593055725098,False,en,10.0,ok
48,What are the draft RTS on Customer Due Diligence?,"The draft Regulatory Technical Standards (RTS) on Customer Due Diligence (CDD) set out requirements for, and information to be collected during, simplified, standard and enhanced due diligence. They also specify: the types of simplified due diligence measures permitted; risk factors linked to features of electronic money; reliable and independent information sources for verifying identification data; and the attributes that electronic identification methods and qualified trust services must have to meet identification and verification requirements. The RTS are intended to ensure a high level of harmonisation while preserving a risk-based and proportionate approach. *(AMLA Public Hearing - Draft RTS under Article 28(1) AMLR.pdf, pp. 9–11)*

Compared with the earlier EBA draft, the revised draft includes a new recital addressing powers of representation and provisions on the information obliged entities must collect to verify the existence and scope of a representative’s authority. Article 16 of the draft RTS covers identification and verification of a person claiming to act on behalf of a customer, while Article 22 AMLR covers identification and verification of customers and beneficial owners. *(2026 AML_CFT Consultations - Unpacking AMLA's New Draft RTS_ Key Takeaways for the Financial and Non‑Financial Sectors_br__ _ Herbert Smith Freehills Kramer _ Global law firm.pdf, pp. 1–2, 4)* The framework also applies a risk-based frequency for updating customer information: no more than one year for higher-risk customers and no more than five years for other customers. *(2026 AML_CFT Consultations - Unpacking AMLA's New Draft RTS_ Key Takeaways for the Financial and Non‑Financial Sectors_br__ _ Herbert Smith Freehills Kramer _ Global law firm.pdf, p. 4)*",2026 AML_CFT Consultations - Unpacking AMLA's New Draft RTS_ Key Takeaways for the Financial and Non‑Financial Sectors_br__ _ Herbert Smith Freehills Kramer _ Global law firm.pdf; 2026 AML_CFT Consultations - Unpacking AMLA's New Draft RTS_ Key Takeaways for the Financial and Non‑Financial Sectors_br__ _ Herbert Smith Freehills Kramer _ Global law firm.pdf; AMLA Public Hearing - Draft RTS under Article 28(1) AMLR.pdf,10.136493682861328,False,en,9.9,ok
49,What are the key provisions of Delegated Regulation (EU) 2017/565?,"Commission Delegated Regulation (EU) 2017/565 supplements Directive 2014/65/EU by setting detailed **organisational requirements and operating conditions for investment firms**, and by defining terms used for that Directive. It forms part of the EU regulatory framework for investment services and activities, including ancillary services where relevant. The framework also covers organisational requirements for investment firms, regulated markets and data-reporting services providers, as well as transaction-reporting requirements for financial instruments. (Delegated regulation - 2017_565 - EN - EUR-Lex.pdf, pp.1, 5)

The key organisational areas identified in the MiFID II framework include **general organisational requirements, risk management and conflicts of interest**. The related product-governance framework covers manufacturers’ and distributors’ duties to define and review the target market. Subsequent proposed amendments also addressed the integration of sustainability risks, ESG considerations and ESG preferences into relevant MiFID II provisions. (esma35-43-1737_final_report_on_integrating_sustainability_risks_and_factors_in_the_mifid_ii.pdf, pp.24–25) The Regulation entered into force following its publication and applied from 3 January 2018; the EUR-Lex record indicates that it has since been amended and that the consolidated version was current as of 2 August 2022. (Delegated regulation - 2017_565 - EN - EUR-Lex.pdf, p.1)",Delegated regulation - 2017_565 - EN - EUR-Lex.pdf; Delegated regulation - 2017_565 - EN - EUR-Lex.pdf; esma35-43-1737_final_report_on_integrating_sustainability_risks_and_factors_in_the_mifid_ii.pdf,7.9978928565979,False,en,10.5,ok
50,What are the ESMA guidelines on suitability?,"ESMA’s suitability guidelines aim to improve clarity and promote convergence in how suitability requirements are implemented. Under the MiFID suitability framework, when an investment firm provides investment advice or portfolio management, it must ensure that each transaction recommended—or entered into for portfolio management—is suitable for the particular client or prospective client. The suitability guidance is divided into general and supporting guidelines and addresses only certain aspects of MiFID. (cssf07_307eng.pdf, pp.100–101)

For crypto-assets, ESMA’s guidelines apply to the suitability requirements under Article 81 of MiCA and to the format of periodic statements for crypto-asset portfolio management. A “suitability assessment” is the complete process of collecting client information and assessing whether a crypto-asset is suitable, based on the crypto-asset service provider’s sound understanding of the crypto-assets it may recommend or invest in for the client. These guidelines apply 60 calendar days after publication on ESMA’s website in all official EU languages. (ESMA35-1872330276-2031_Guidelines_on_suitability_and_periodic_statement_MiCA.pdf, pp.5–6)

The guidelines are addressed to competent authorities under ESMA’s “comply or explain” framework and also to financial-market participants, although participants are not required to report whether they comply with the guidelines. (cssf07_307eng.pdf, p.100)",cssf07_307eng.pdf; ESMA35-1872330276-2031_Guidelines_on_suitability_and_periodic_statement_MiCA.pdf; cssf07_307eng.pdf,7.889927387237549,False,en,8.3,ok
